District,District Long,M5S,PD,PdL,SC,LN,SEL,RC,FdI,UdC,FiD
Piemonte,Piemonte 1,29.12,26.6,17.6,10.35,3.26,3.67,2.52,1.99,1.04,1.15
Piemonte,Piemonte 2,25.77,23.43,22.12,10.76,6.44,2.19,1.61,3.21,1.38,1.42
Lombardia,Lombardia 1,20.45,27.65,20.67,11.2,8.67,2.99,1.76,1.5,0.89,2.09
Lombardia,Lombardia 2,18.36,23.04,20.57,10.9,17.56,1.87,1.36,1.48,1.27,1.97
Lombardia,Lombardia 3,21.2,27.5,21.78,8.68,10.88,2.11,1.63,1.94,1.31,1.68
Trentino-South Tyrol,Trentino-South Tyrol,14.62,16.7,10.91,13.1,4.18,3.8,1.44,-,0.79,1.04
Veneto,Veneto 1,25.63,20.36,19.29,10.0,10.86,1.68,1.3,1.68,1.66,2.36
Veneto,Veneto 2,27.45,22.86,17.71,10.22,10.03,1.99,1.42,1.25,1.29,2.15
Friuli-Venezia Giulia,Friuli-Venezia Giulia,27.23,24.72,18.65,10.76,6.72,2.46,2.09,1.77,1.62,1.74
Liguria,Liguria,32.1,27.69,18.68,8.39,2.34,3.14,2.09,1.44,1.13,1.12
Emilia-Romagna,Emilia-Romagna,24.64,37.04,16.27,7.93,2.59,2.9,1.93,1.35,1.11,1.34
Toscana,Toscana,24.01,37.46,17.49,6.93,0.73,3.79,2.69,1.81,1.15,0.96
Umbria,Umbria,27.16,32.07,19.46,7.87,0.58,3.2,2.53,2.77,1.29,0.82
Marche,Marche,32.13,27.69,17.51,8.43,0.69,2.99,2.19,2.15,1.8,1.05
Lazio,Lazio 1,28.48,27.11,20.61,7.06,0.13,4.17,2.71,2.59,1.29,0.84
Lazio,Lazio 2,26.92,21.9,28.87,6.0,0.25,2.99,2.17,3.23,2.05,0.5
Abruzzo,Abruzzo,29.87,22.61,23.83,6.4,0.18,3.06,3.31,3.56,1.75,0.57
Molise,Molise,27.67,22.65,21.05,8.49,0.18,5.54,3.4,5.94,1.74,0.95
Campania,Campania 1,23.16,21.83,29.81,6.5,0.21,3.45,2.97,2.11,2.53,0.26
Campania,Campania 2,21.12,21.92,28.15,6.91,0.38,3.2,2.19,3.87,4.73,0.4
Puglia,Puglia,25.53,18.49,28.92,7.82,0.07,6.54,2.44,1.56,2.06,0.37
Basilicata,Basilicata,24.27,25.7,19.08,7.88,0.12,5.9,2.38,2.39,2.61,0.59
Calabria,Calabria,24.86,22.37,23.81,5.53,0.24,4.2,2.91,1.36,4.1,0.34
Sicilia,Sicilia 1,34.55,18.65,26.18,5.18,0.17,2.06,3.68,1.31,2.7,0.32
Sicilia,Sicilia 2,32.67,18.57,26.81,5.12,0.21,2.05,3.15,1.78,2.93,0.42
Sardegna,Sardegna,29.69,25.16,20.36,6.05,0.14,3.68,2.79,1.75,2.78,0.45
