"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2016","Italy","Percentage","30.0",""
"2016","Nord-Ovest","Percentage","21.0",""
"2016","Piemonte","Percentage","22.9",""
"2016","Valle d'Aosta","Percentage","20.5",""
"2016","Liguria","Percentage","23.9",""
"2016","Lombardia","Percentage","19.7",""
"2016","Nord-Est","Percentage","17.1",""
"2016","Trentino-South Tyrol","Percentage","9.6",""
"2016","Trentino-South Tyrol","Percentage","23.5",""
"2016","Veneto","Percentage","17.9",""
"2016","Friuli-Venezia Giulia","Percentage","17.7",""
"2016","Emilia-Romagna","Percentage","16.1",""
"2016","Centro (IT)","Percentage","25.1",""
"2016","Toscana","Percentage","16.9",""
"2016","Umbria","Percentage","23.5",""
"2016","Marche","Percentage","24.4",""
"2016","Lazio","Percentage","30.8",""
"2016","Sud","Percentage","44.8",""
"2016","Abruzzo","Percentage","31.5",""
"2016","Molise","Percentage","37.0",""
"2016","Campania","Percentage","49.9",""
"2016","Puglia","Percentage","42.2",""
"2016","Basilicata","Percentage","40.0",""
"2016","Calabria","Percentage","46.7",""
"2016","Isole","Percentage","51.3",""
"2016","Sicilia","Percentage","55.6",""
"2016","Sardegna","Percentage","38.0",""
