GEO,15_24,over_25,15_74
Italy,38,10,11.7
Nord-Ovest,32,6.7,8.2
Piemonte,36,7.8,9.4
Liguria,38,8.3,9.8
Lombardia,30,6,7.4
Nord-Est,20,5.9,6.8
Provincia Autonoma di Bolzano/Bozen,8.8,3.3,3.7
Trentino-South Tyrol,24,5.7,6.9
Veneto,19,6,6.8
Friuli-Venezia Giulia,29,6.4,7.6
Emilia-Romagna,22,6.1,7
Centro (IT),37,9,10.5
Toscana,34,8.1,9.5
Umbria,33,8.3,9.6
Marche,31,9.3,10.6
Lazio,42,9.5,11.2
Sud,49,16.6,19.1
Abruzzo,39,10.6,12.1
Molise,39,11.2,12.8
Campania,50,17.7,20.4
Puglia,50,16.8,19.4
Basilicata,34,11.9,13.3
Calabria,59,20.6,23.2
Isole,57,17.8,20.8
Sicilia,57,18.8,22.1
Sardegna,56,15.1,17.3
