type,name,votes.x,share.x,votes.y,share.y
party,lega,5213703,17.78,NA,NA
party,forza italia,4083355,13.92,NA,NA
party,fratelli d'italia con giorgia meloni,1277995,4.35,NA,NA
party,noi con l'italia - udc,382176,1.3,3929,1.12
party,movimento 5 stelle,9419388,32.12,58622,16.83
party,partito democratico,5549973,18.93,89117,25.59
party,+europa,762144,2.59,18398,5.28
party,italia europa insieme,172542,0.58,NA,NA
party,civica popolare lorenzin,151660,0.51,6488,1.86
party,svp - patt,129759,0.44,NA,NA
party,liberi e uguali,990353,3.37,18858,5.41
